,Symbol,Revenue,Revenue Growth,Gross Profit,Operating Income,Earnings before Tax,Free Cash Flow,Net Income,Total current assets,Operating Expenses,Net Debt,Short-term debt,Long-term debt,Total shareholders equity,Weighted Average Shs Out,Total current liabilities,Total debt,Total liabilities
7,WMT,476294000000.0,0.0163,118225000000.0,26872000000.0,24127000000.0,10869000000.0,16022000000.0,61185000000.0,91353000000.0,49360000000.0,12082000000.0,44559000000.0,76255000000.0,3235772430.0,69345000000.0,56641000000.0,123412000000.0
2255,XOM,411939000000.0,-0.06,124339000000.0,51916000000.0,50535000000.0,12164000000.0,32520000000.0,52910000000.0,72423000000.0,24463000000.0,17468000000.0,11653000000.0,174399000000.0,4234528643.0,64633000000.0,29121000000.0,168429000000.0
