0,0,0
PBR,,PBR
PSX,,PSX
T,,T
TOT,,TOT
UNH,,VLO
VLO,,VZ
VZ,,WBA
WBA,,GOOGL
ABC,,ABC
AMZN,,ANTM
BA,,BA
CAH,,CAH
COST,,COST
CVX,,CVX
F,,F
FCAU,,FCAU
GM,,GM
GOOGL,,GOOGL
HD,,HD
HMC,,HMC
KR,,KR
MCK,,LFC
MPC,,MPC
PSX,,MSFT
T,,PBR
TOT,,PSX
UNH,,T
VLO,,TOT
VZ,,VLO
WBA,,VZ
ABC,,WBA
AMZN,,GOOGL
BA,,GOOGL
CAH,,GOOGL
COST,,AMZN
CVX,,MCK
F,,UNH
FCAU,,GOOGL
GM,,GOOGL
GOOGL,,MSFT
HD,,GOOGL
HMC,,AMZN
KR,,MCK
MCK,,UNH
MPC,,GOOGL
PSX,,AMZN
T,,MCK
TOT,,UNH
UNH,,GOOGL
VLO,,GOOGL
VZ,,GOOGL
WBA,,AMZN
ABC,,MCK
AMZN,,UNH
ANTM,,ABC
BA,,ANTM
CAH,,BA
COST,,CAH
CVX,,COST
F,,CVX
FCAU,,F
GM,,FCAU
GOOGL,,GM
HD,,GOOGL
HMC,,HD
KR,,HMC
LFC,,KR
MCK,,LFC
MPC,,MPC
MSFT,,MSFT
PBR,,PBR
PSX,,PSX
T,,T
TOT,,TOT
UNH,,VLO
VLO,,VZ
VZ,,WBA
WBA,,AMZN
GOOGL,,MCK
ANTM,,UNH
LFC,,AMZN
MSFT,,MCK
ANTM,,T
LFC,,UNH
MSFT,,ABC
PBR,,ANTM
ABC,,BA
AMZN,,CAH
BA,,COST
CAH,,CVX
COST,,F
CVX,,FCAU
F,,GM
FCAU,,GOOGL
GM,,HD
GOOGL,,HMC
HD,,KR
HMC,,LFC
KR,,MPC
MCK,,MSFT
MPC,,PBR
PSX,,PSX
T,,T
TOT,,TOT
UNH,,VLO
VLO,,VZ
VZ,,WBA
WBA,,GOOGL
GOOGL,,MSFT
MSFT,,GOOGL
ABC,,AMZN
AMZN,,MCK
BA,,UNH
CAH,,AMZN
COST,,MCK
CVX,,UNH
F,,AMZN
FCAU,,MCK
GM,,UNH
HMC,,GOOGL
KR,,AMZN
MCK,,MCK
MPC,,UNH
PSX,,ABC
T,,ANTM
TOT,,BA
UNH,,CAH
VLO,,COST
VZ,,CVX
WBA,,F
GOOGL,,FCAU
ANTM,,GM
LFC,,HD
MSFT,,HMC
PBR,,KR
ANTM,,LFC
LFC,,MPC
MSFT,,MSFT
ANTM,,PBR
BA,,PSX
HD,,T
LFC,,TOT
MPC,,VLO
MSFT,,VZ
PBR,,WBA
GOOGL,,AMZN
GOOGL,,MCK
ABC,,UNH
ANTM,,ABC
BA,,ANTM
CAH,,BA
COST,,CAH
CVX,,COST
F,,CVX
FCAU,,F
GM,,FCAU
GOOGL,,GM
HD,,GOOGL
HMC,,HD
KR,,HMC
LFC,,KR
MCK,,LFC
MPC,,MPC
MSFT,,MSFT
PBR,,PBR
PSX,,PSX
T,,T
TOT,,TOT
VLO,,VLO
VZ,,VZ
WBA,,WBA
GOOGL,,GOOGL
GOOGL,,
ABC,,
ANTM,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
GOOGL,,
HD,,
HMC,,
KR,,
LFC,,
MCK,,
MPC,,
MSFT,,
PBR,,
PSX,,
T,,
TOT,,
VLO,,
VZ,,
WBA,,
GOOGL,,
MSFT,,
ANTM,,
LFC,,
MSFT,,
PBR,,
ABC,,
ANTM,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
GOOGL,,
HD,,
HMC,,
KR,,
LFC,,
MPC,,
MSFT,,
PBR,,
PSX,,
T,,
TOT,,
VLO,,
VZ,,
WBA,,
GOOGL,,
MSFT,,
GOOGL,,
GOOGL,,
ANTM,,
HD,,
LFC,,
MSFT,,
PBR,,
ABC,,
AMZN,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
GOOGL,,
HD,,
HMC,,
KR,,
MCK,,
MPC,,
PSX,,
T,,
TOT,,
UNH,,
VLO,,
VZ,,
WBA,,
ANTM,,
LFC,,
ANTM,,
LFC,,
MSFT,,
PBR,,
GOOGL,,
ANTM,,
LFC,,
MSFT,,
PBR,,
GOOGL,,
GOOGL,,
ANTM,,
LFC,,
ANTM,,
HD,,
LFC,,
PBR,,
ANTM,,
LFC,,
GOOGL,,
GOOGL,,
MSFT,,
ABC,,
AMZN,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
